Lower Oldfield Park	E-Bound	E	51.37763	-2.3735
Hayesfield School	E-Bound	E	51.37724	-2.37115
Green Tree	E-Bound	E	51.37879	-2.36791
Oak Street	E-Bound	E	51.37849	-2.36552
Corn Street	Wt	E	51.37921	-2.36245
Dorchester Street	Bn	E	51.37804	-2.35911
High Street	Cf	N	51.38206	-2.35922
The Pavilion	E-Bound	E	51.38094	-2.35488
St Marys Church	SE-Bound	SE	51.38393	-2.35093
Sydney Buildings	SE-Bound	SE	51.38269	-2.34818
Cleveland Walk	SE-Bound	SE	51.38102	-2.34548
White Lodge	SE-Bound	SE	51.37976	-2.34271
Youth Hostel	SE-Bound	SE	51.37859	-2.34001
Smallcombe House	E-Bound	E	51.37787	-2.33758
Woodland Place	E-Bound	E	51.37744	-2.33386
Bathwick Hill	SE-Bound	SE	51.37661	-2.33154
Oakley	SE-Bound	SE	51.37424	-2.3282
The Avenue	NE-Bound	NE	51.37592	-2.32472
University of Bath	E-Bound	E	51.37909	-2.32518
The Avenue	S-Bound	S	51.37607	-2.32441
Oakley	NW-Bound	NW	51.37441	-2.32908
Bathwick Hill	NW-Bound	NW	51.37683	-2.33214
Woodland Place	W-Bound	W	51.37751	-2.33447
Smallcombe House	W-Bound	W	51.37779	-2.33798
Youth Hostel	NW-Bound	NW	51.37867	-2.34042
White Lodge	NW-Bound	NW	51.37992	-2.34372
Cleveland Walk	N-Bound	N	51.38088	-2.34569
Bathwick Terrace	NW-Bound	NW	51.38327	-2.35028
North Parade	Cd	W	51.38075	-2.35634
Dorchester Street	Bh	W	51.37786	-2.35784
Green Park Road	Ww	NW	51.37833	-2.36257
Green Park Road	Ga	N	51.38044	-2.36647
St James Cemetery	NW-Bound	NW	51.37999	-2.37167
Hayesfield Lower School	SW-Bound	SW	51.38037	-2.37492
