1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0740	0740	0744	0745	0749	0750	0753	0754	0756	0756	0757	0758	0759	0759	0759	0800	0801	0802	0803
0800	0800	0804	0805	0809	0810	0813	0814	0816	0816	0817	0818	0819	0819	0819	0820	0821	0822	0823
0820	0820	0824	0825	0829	0830	0833	0834	0836	0836	0837	0838	0839	0839	0839	0840	0841	0842	0843
0840	0840	0844	0845	0849	0850	0853	0854	0856	0856	0857	0858	0859	0859	0859	0900	0901	0902	0903
0900	0900	0904	0905	0909	0910	0913	0914	0916	0916	0917	0918	0919	0919	0919	0920	0921	0922	0923
0920	0920	0924	0925	0929	0930	0933	0934	0936	0936	0937	0938	0939	0939	0939	0940	0941	0942	0943
0940	0940	0944	0945	0949	0950	0953	0954	0956	0956	0957	0958	0959	0959	0959	1000	1001	1002	1003
1000	1000	1004	1005	1009	1010	1013	1014	1016	1016	1017	1018	1019	1019	1019	1020	1021	1022	1023
1020	1020	1024	1025	1029	1030	1033	1034	1036	1036	1037	1038	1039	1039	1039	1040	1041	1042	1043
1040	1040	1044	1045	1049	1050	1053	1054	1056	1056	1057	1058	1059	1059	1059	1100	1101	1102	1103
1100	1100	1104	1105	1109	1110	1113	1114	1116	1116	1117	1118	1119	1119	1119	1120	1121	1122	1123
1120	1120	1124	1125	1129	1130	1133	1134	1136	1136	1137	1138	1139	1139	1139	1140	1141	1142	1143
1140	1140	1144	1145	1149	1150	1153	1154	1156	1156	1157	1158	1159	1159	1159	1200	1201	1202	1203
1200	1200	1204	1205	1209	1210	1213	1214	1216	1216	1217	1218	1219	1219	1219	1220	1221	1222	1223
1220	1220	1224	1225	1229	1230	1233	1234	1236	1236	1237	1238	1239	1239	1239	1240	1241	1242	1243
1240	1240	1244	1245	1249	1250	1253	1254	1256	1256	1257	1258	1259	1259	1259	1300	1301	1302	1303
1300	1300	1304	1305	1309	1310	1313	1314	1316	1316	1317	1318	1319	1319	1319	1320	1321	1322	1323
1320	1320	1324	1325	1329	1330	1333	1334	1336	1336	1337	1338	1339	1339	1339	1340	1341	1342	1343
1340	1340	1344	1345	1349	1350	1353	1354	1356	1356	1357	1358	1359	1359	1359	1400	1401	1402	1403
1400	1400	1404	1405	1409	1410	1413	1414	1416	1416	1417	1418	1419	1419	1419	1420	1421	1422	1423
1420	1420	1424	1425	1429	1430	1433	1434	1436	1436	1437	1438	1439	1439	1439	1440	1441	1442	1443
1440	1440	1444	1445	1449	1450	1453	1454	1456	1456	1457	1458	1459	1459	1459	1500	1501	1502	1503
1500	1500	1504	1505	1509	1510	1513	1514	1516	1516	1517	1518	1519	1519	1519	1520	1521	1522	1523
1520	1520	1524	1525	1529	1530	1533	1534	1536	1536	1537	1538	1539	1539	1539	1540	1541	1542	1543
1540	1540	1544	1545	1549	1550	1553	1554	1556	1556	1557	1558	1559	1559	1559	1600	1601	1602	1603
1600	1600	1604	1605	1609	1610	1613	1614	1616	1616	1617	1618	1619	1619	1619	1620	1621	1622	1623
1620	1620	1624	1625	1629	1630	1633	1634	1636	1636	1637	1638	1639	1639	1639	1640	1641	1642	1643
1640	1640	1644	1645	1649	1650	1653	1654	1656	1656	1657	1658	1659	1659	1659	1700	1701	1702	1703
1700	1700	1704	1705	1709	1710	1713	1714	1716	1716	1717	1718	1719	1719	1719	1720	1721	1722	1723
1720	1720	1724	1725	1729	1730	1733	1734	1736	1736	1737	1738	1739	1739	1739	1740	1741	1742	1743
1740	1740	1744	1745	1749	1750	1753	1754	1756	1756	1757	1758	1759	1759	1759	1800	1801	1802	1803
1800	1800	1804	1805	1809	1810	1813	1814	1816	1816	1817	1818	1819	1819	1819	1820	1821	1822	1823
1820	1820	1824	1825	1829	1830	1833	1834	1836	1836	1837	1838	1839	1839	1839	1840	1841	1842	1843
1840	1840	1844	1845	1849	1850	1853	1854	1856	1856	1857	1858	1859	1859	1859	1900	1901	1902	1903
1900	1900	1904	1905	1909	1910	1913	1914	1916	1916	1917	1918	1919	1919	1919	1920	1921	1922	1923
1920	1920	1924	1925	1929	1930	1933	1934	1936	1936	1937	1938	1939	1939	1939	1940	1941	1942	1943
1940	1940	1944	1945	1949	1950	1953	1954	1956	1956	1957	1958	1959	1959	1959	2000	2001	2002	2003
2000	2000	2004	2005	2009	2010	2013	2014	2016	2016	2017	2018	2019	2019	2019	2020	2021	2022	2023
2020	2020	2024	2025	2029	2030	2033	2034	2036	2036	2037	2038	2039	2039	2039	2040	2041	2042	2043
2040	2040	2044	2045	2049	2050	2053	2054	2056	2056	2057	2058	2059	2059	2059	2100	2101	2102	2103
2100	2100	2102	2102	2106	2107	2110	2111	2112	2113	2113	2114	2115	2115	2115	2116	2116	2117	2118
2120	2120	2122	2122	2126	2127	2130	2131	2132	2133	2133	2134	2135	2135	2135	2136	2136	2137	2138
2140	2140	2142	2142	2146	2147	2150	2151	2152	2153	2153	2154	2155	2155	2155	2156	2156	2157	2158
2200	2200	2202	2202	2206	2207	2210	2211	2212	2213	2213	2214	2215	2215	2215	2216	2216	2217	2218
2220	2220	2222	2222	2226	2227	2230	2231	2232	2233	2233	2234	2235	2235	2235	2236	2236	2237	2238
2240	2240	2242	2242	2246	2247	2250	2251	2252	2253	2253	2254	2255	2255	2255	2256	2256	2257	2258
2300	2300	2302	2302	2306	2307	2310	2311	2312	2313	2313	2314	2315	2315	2315	2316	2316	2317	2318
2320	2320	2322	2322	2326	2327	2330	2331	2332	2333	2333	2334	2335	2335	2335	2336	2336	2337	2338
2340	2340	2342	2342	2346	2347	2350	2351	2352	2353	2353	2354	2355	2355	2355	2356	2356	2357	2358
0000	0000	0002	0002	0006	0007	0010	0011	0012	0013	0013	0014	0015	0015	0015	0016	0016	0017	0018
0020	0020	0022	0022	0026	0027	0030	0031	0032	0033	0033	0034	0035	0035	0035	0036	0036	0037	0038
0040	0040	0042	0042	0046	0047	0050	0051	0052	0053	0053	0054	0055	0055	0055	0056	0056	0057	0058
0100	0100	0102	0102	0106	0107	0110	0111	0112	0113	0113	0114	0115	0115	0115	0116	0116	0117	0118
0120	0120	0122	0122	0126	0127	0130	0131	0132	0133	0133	0134	0135	0135	0135	0136	0136	0137	0138
0140	0140	0142	0142	0146	0147	0150	0151	0152	0153	0153	0154	0155	0155	0155	0156	0156	0157	0158
0200	0200	0202	0202	0206	0207	0210	0211	0212	0213	0213	0214	0215	0215	0215	0216	0216	0217	0218
0220	0220	0222	0222	0226	0227	0230	0231	0232	0233	0233	0234	0235	0235	0235	0236	0236	0237	0238
0240	0240	0242	0242	0246	0247	0250	0251	0252	0253	0253	0254	0255	0255	0255	0256	0256	0257	0258

