AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0180BAA01315,bthmtpw,,,Ralph Allen School Grounds,en,,,,,,,,,W-Bound,en,W,E0034992,Claverton Down,Bath,,,,,,0,U,377205,162796,-2.32882,51.36376,BCT,MKD,OTH,,,,1,2013-03-11T16:46:19,2013-03-11T16:46:19,,new,act
0180BAA01316,bthmtwa,,,Sainsburys,en,,,,,,,,,NE-Bound,en,NE,E0035029,Kingsmead,Bath,,,,,,0,U,374264,164751,-2.3712,51.38122,BCT,MKD,OTH,,,,1,2013-03-11T16:46:19,2013-03-11T16:46:19,,new,act
0180BAA01317,bthmtwd,,,Dorchester Street,en,,,,,Dorchester Street,en,,,Bk,en,W,N0078123,Bath City Centre,Bath,,,,,,0,U,375116,164378,-2.35893,51.3779,BCT,MKD,OTH,,,,1,2013-03-11T16:46:22,2013-03-11T16:46:22,,new,act
0180BAA01318,bthmtwg,,,Dorchester Street,en,,,,,Dorchester Street,en,,,Bl,en,W,N0078123,Bath City Centre,Bath,,,,,,0,U,375092,164381,-2.35928,51.37793,BCT,MKD,OTH,,,,1,2013-03-11T16:46:22,2013-03-11T16:46:22,,new,act
0180BAA01319,bthmtwj,,,Bus Station,en,,,,,Dorchester Street,en,,,Bay 1,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375074,164376,-2.35954,51.37788,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAA01320,bthmtwm,,,Bus Station,en,,,,,Dorchester Street,en,,,Bay 2,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375077,164376,-2.35949,51.37788,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAA01321,bthmtwp,,,Bus Station,en,,,,,Dorchester Street,en,,,Bay 3,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375080,164375,-2.35945,51.37787,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAA01322,bthmtwt,,,Bus Station,en,,,,,,,,,Bay 4,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375082,164375,-2.35942,51.37787,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAA01323,bthmwad,,,Bus Station,en,,,,,,,,,Bay 5,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375085,164375,-2.35938,51.37787,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAA01324,bthmwag,,,Bus Station,en,,,,,,,,,Bay 6,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375088,164374,-2.35933,51.37786,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAA01325,bthmwaj,,,Bus Station,en,,,,,,,,,Bay 7,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375091,164373,-2.35929,51.37786,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAA01326,bthmwam,,,Bus Station,en,,,,,,,,,Bay 8,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375094,164373,-2.35925,51.37786,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
0180BAA01327,bthmwap,,,Bus Station,en,,,,,,,,,Bay 9,en,,N0078123,Bath City Centre,Bath,,,,,,0,U,375097,164372,-2.35921,51.37785,BCS,MKD,,,,,1,2013-03-11T16:46:18,2013-03-11T16:46:18,,new,act
